Nes,rep,N,r,window_1,window_2
12.0,1,1000,0.0001,0.018476315728786528,0.018803498100905165
18.0,22,1000,0.0001,0.027674983235161765,0.028426722066103412
0.5,27,1000,0.0001,0.02967638707135365,0.029709840332016735
0.0,230,1000,0.0001,0.029326953377668993,0.019967379744987423
0.0,240,1000,0.0001,0.023740839772988683,0.03081963263863204
8.0,25,1000,0.0001,0.029628177411870682,0.028775773701685246
28.0,32,1000,0.0001,0.028231772487624544,0.024549017352867783
15.0,44,1000,0.0001,0.02884952978048911,0.030455943389169522
0.0,117,1000,0.0001,0.030357565083254347,0.02838854244712243
0.01,33,1000,0.0001,0.02359783614280735,0.027234175006750478
18.0,30,1000,0.0001,0.03021239978098916,0.026800665799290063
0.02,0,1000,0.0001,0.030939853547677542,0.02983488658632943
22.0,45,1000,0.0001,0.0269228006490326,0.024267944129206517
0.1,27,1000,0.0001,0.01894800730936559,0.018423168357417984
2.0,7,1000,0.0001,0.03253490351817598,0.026336770549527596
22.0,4,1000,0.0001,0.026048646712335692,0.025202800750037644
1.0,15,1000,0.0001,0.03079933523976207,0.024214245597279926
0.0,129,1000,0.0001,0.02039304912645646,0.019914283906195415
22.0,24,1000,0.0001,0.02459979914295726,0.02642173865393287
4.0,44,1000,0.0001,0.024686821065053377,0.02853170911645591
28.0,41,1000,0.0001,0.02996692276913855,0.024448696590829672
0.05,49,1000,0.0001,0.02883392125706299,0.025620161525076277
0.0,33,1000,0.0001,0.027943952015600775,0.023212812041602204
0.0,194,1000,0.0001,0.027691382369118576,0.027426882794139778
0.1,16,1000,0.0001,0.027349223255162848,0.03404751064653237
50.0,45,1000,0.0001,0.03154276750137515,0.027097827806390473
0.05,42,1000,0.0001,0.033276407257363,0.024792336295814947
0.01,39,1000,0.0001,0.023322628005400404,0.02781648637231877
0.0,95,1000,0.0001,0.025999309111455687,0.024096196508825548
20.0,35,1000,0.0001,0.029254151174558894,0.026354776431821665
0.0,141,1000,0.0001,0.02706228735936802,0.030360448749437496
22.0,27,1000,0.0001,0.03259870692934658,0.031313528625431346
22.0,37,1000,0.0001,0.027296359890994642,0.030398375874793816
18.0,2,1000,0.0001,0.019675723914195815,0.017765987163358313
28.0,23,1000,0.0001,0.03122833954197721,0.03012266182209121
0.0,111,1000,0.0001,0.02978854970048521,0.028926574458723042
0.5,6,1000,0.0001,0.020983055006750455,0.019184547626381457
0.02,36,1000,0.0001,0.028065684366218414,0.027249469675483907
0.01,35,1000,0.0001,0.027608627371368703,0.032191678378919036
10.0,37,1000,0.0001,0.028667287299365064,0.026474527317366044
18.0,13,1000,0.0001,0.03146163973798694,0.03229836811540591
2.0,23,1000,0.0001,0.024290960580029042,0.025593662347117477
12.0,38,1000,0.0001,0.02601441456172826,0.027159122923146276
0.1,0,1000,0.0001,0.029934058404920375,0.029025615988799547
8.0,17,1000,0.0001,0.02963540248912452,0.031299490766538436
100.0,14,1000,0.0001,0.028861351371568627,0.02434148255212774
0.0,187,1000,0.0001,0.027344525839292148,0.032035498329916624
28.0,16,1000,0.0001,0.02748581889494481,0.027341747830391595
0.5,31,1000,0.0001,0.02880133016650842,0.027601516699835106
0.01,23,1000,0.0001,0.023581869106455447,0.022928858927946532
18.0,11,1000,0.0001,0.022302278645932396,0.028753006116305893
0.0,94,1000,0.0001,0.02985611576778851,0.02832973094254719
0.1,43,1000,0.0001,0.027376568656432943,0.02494184234811746
18.0,45,1000,0.0001,0.02836670470723548,0.029081707826391533
10.0,21,1000,0.0001,0.02548357837291879,0.027911497865893427
0.01,47,1000,0.0001,0.02699615064753251,0.02974756110205529
24.0,40,1000,0.0001,0.028766825045252346,0.027835282396119987
100.0,41,1000,0.0001,0.028398137177859037,0.0276450599419972
25.0,48,1000,0.0001,0.031396764720236114,0.028880797214860802
0.0,74,1000,0.0001,0.032191601184059324,0.02746992698334929
30.0,1,1000,0.0001,0.030137555165758414,0.0310371911865594
0.0,148,1000,0.0001,0.027451845879294116,0.028409645519276067
0.2,21,1000,0.0001,0.03084460505425276,0.03104797169658495
0.0,182,1000,0.0001,0.02566525259362981,0.025090968291414707
4.0,25,1000,0.0001,0.02640582463523184,0.025976207600380063
12.0,37,1000,0.0001,0.026649493884694397,0.027647197757887938
0.2,36,1000,0.0001,0.029450288257412995,0.029485692835641827
0.0,83,1000,0.0001,0.028042106554327824,0.030034822138106976
30.0,22,1000,0.0001,0.027745220008000462,0.028470455992799758
0.02,31,1000,0.0001,0.023408270869543554,0.028831708708435502
0.5,48,1000,0.0001,0.020465771021551286,0.01439384766438333
200.0,27,1000,0.0001,0.03151800316415825,0.028630256737837055
5.0,43,1000,0.0001,0.02789146663433184,0.02664320076003807
30.0,38,1000,0.0001,0.025270410047502426,0.028105465747287468
0.2,41,1000,0.0001,0.027145062472123737,0.01922509308065412
28.0,30,1000,0.0001,0.021654511078554022,0.02738321545477283
0.5,33,1000,0.0001,0.026248677081854167,0.023682858267913512
0.05,43,1000,0.0001,0.03271799313865707,0.03167681603380179
100.0,33,1000,0.0001,0.028176640013000763,0.027082344397219946
0.02,48,1000,0.0001,0.027627760467023376,0.02840345403570193
0.01,21,1000,0.0001,0.029189754526726425,0.029067480406020422
0.5,2,1000,0.0001,0.02767779372568647,0.023325417103855318
0.0,234,1000,0.0001,0.024209311968598515,0.026459733910695615
25.0,6,1000,0.0001,0.019601174062703234,0.019714963520176158
20.0,49,1000,0.0001,0.02080768149707497,0.026118537524876303
0.0,224,1000,0.0001,0.027622503670183613,0.026859858301915257
30.0,37,1000,0.0001,0.027773863383169315,0.028495468369418676
25.0,42,1000,0.0001,0.03171896532026604,0.030738603362168333
18.0,47,1000,0.0001,0.03216657690484534,0.030543885365268336
8.0,32,1000,0.0001,0.02980572445222274,0.024510762857142994
28.0,10,1000,0.0001,0.02448266817640894,0.02943275120456043
0.05,25,1000,0.0001,0.024816644968248567,0.03130126497424872
2.0,21,1000,0.0001,0.0256240099144959,0.02632883964598236
1.0,22,1000,0.0001,0.023179163621181133,0.01815279725886305
28.0,25,1000,0.0001,0.028116655236762027,0.025853543239162093
4.0,31,1000,0.0001,0.023187299036951974,0.01799055807390377
0.0,158,1000,0.0001,0.026339333436672007,0.025078348448422574
0.0,116,1000,0.0001,0.03332934553927709,0.032571672347617556
15.0,11,1000,0.0001,0.031096673397670048,0.022885397466873413
100.0,37,1000,0.0001,0.018133381825091367,0.02055248615030761
0.0,186,1000,0.0001,0.023406690098505045,0.030443815831791773
30.0,41,1000,0.0001,0.030556457584879376,0.033956198182909285
0.5,24,1000,0.0001,0.029121295993799753,0.027969072363618376
28.0,26,1000,0.0001,0.025378028109405575,0.02526225883594185
0.2,46,1000,0.0001,0.02999712813240684,0.025203580628031456
15.0,24,1000,0.0001,0.03231608711635591,0.0296188655722788
0.0,236,1000,0.0001,0.028767041847092584,0.029093835720786176
22.0,13,1000,0.0001,0.02522028221711103,0.02556586674933754
10.0,6,1000,0.0001,0.026394987388369533,0.030402666880344202
0.0,6,1000,0.0001,0.01627947636881854,0.022574016831841716
30.0,7,1000,0.0001,0.019555660827041455,0.026517045219260946
8.0,49,1000,0.0001,0.028817411437572025,0.031620739795990054
0.1,48,1000,0.0001,0.023767707405370483,0.0240393260343018
0.5,46,1000,0.0001,0.018307669279464017,0.021103683493174798
24.0,5,1000,0.0001,0.025879100897044843,0.021574790260513142
0.0,53,1000,0.0001,0.02643610634731751,0.027968173754687804
20.0,4,1000,0.0001,0.025478369937496942,0.027275243916195877
22.0,34,1000,0.0001,0.02508275686884352,0.026114169673483838
18.0,34,1000,0.0001,0.027870241855092875,0.027958618268913545
10.0,1,1000,0.0001,0.03234391635681789,0.025869643297164964
0.0,90,1000,0.0001,0.02545784574028709,0.023550766319316147
8.0,7,1000,0.0001,0.0141757605740288,0.013759253773688758
0.02,8,1000,0.0001,0.02391804661933108,0.025168841559078076
0.0,139,1000,0.0001,0.025060734277714086,0.025368188894444834
28.0,40,1000,0.0001,0.03201966226911357,0.03167228352017614
18.0,12,1000,0.0001,0.028976390938547036,0.026873253389669536
10.0,26,1000,0.0001,0.019174632555627843,0.024328989492474723
0.0,154,1000,0.0001,0.03040481129656489,0.030421953937697123
0.0,39,1000,0.0001,0.01951844244312229,0.017271048315415784
30.0,31,1000,0.0001,0.02814767356567843,0.0272509229261464
20.0,44,1000,0.0001,0.03170675578578933,0.02473865835191767
15.0,9,1000,0.0001,0.024678642044102306,0.024592216375818945
8.0,30,1000,0.0001,0.02440660720936057,0.025532419873993843
18.0,33,1000,0.0001,0.02755232951147568,0.02380027115855806
30.0,12,1000,0.0001,0.0238724900425022,0.023304556437821942
12.0,3,1000,0.0001,0.02373218195109777,0.023951916141807215
0.0,197,1000,0.0001,0.02772109612280629,0.029944357504875348
50.0,10,1000,0.0001,0.02126000935546781,0.02858837044852254
22.0,43,1000,0.0001,0.02386300237711905,0.025258126356317894
100.0,12,1000,0.0001,0.018451750584529282,0.012318112576628898
15.0,47,1000,0.0001,0.02171916691534587,0.016192245545277335
24.0,46,1000,0.0001,0.028881599072953856,0.028226379859993125
0.5,34,1000,0.0001,0.023101505346267433,0.027796874466723416
50.0,24,1000,0.0001,0.026010828721436126,0.028277497428871482
8.0,8,1000,0.0001,0.02438301677783898,0.025269745746287386
100.0,34,1000,0.0001,0.028088135127756476,0.02642246121306074
0.1,5,1000,0.0001,0.03321238470223521,0.028582448073403783
0.0,170,1000,0.0001,0.02821778222211119,0.03132056108505439
